symbol,listDate,fullname,listed Price,Rate,List Price MNT
AGIX,2021-12-13 20:02:22,SingularityNET,0.2243,2849.36,639.111
CBM,2021-12-13 20:02:22,CryptoBonusMiles,0.0001255,2849.36,0.358
POND,2021-12-13 20:02:22,Marlin,0.07158,2849.36,203.957
LINA,2021-12-13 20:02:22,Linear Finance,0.4032,2849.36,1148.862
XLM,2021-12-13 20:02:22,Stellar,0.2744,2849.36,781.864
LINK,2021-12-13 20:02:22,Chainlink,17.79,2849.36,50690.114
QTUM,2021-12-13 20:02:22,Qtum,10.04,2849.36,28607.574
SUPER,2021-12-13 20:02:22,SuperVerse,1.2714,2849.36,3622.676
UFT,2021-12-13 20:02:22,UniLend,0.6598,2849.36,1880.008
POLS,2021-12-13 20:02:22,Polkastarter,3.4418,2849.36,9806.927
KSM,2021-12-13 20:02:22,Kusama,304.53,2849.36,867715.601
LUN,2021-12-13 20:02:22,Lunyr,0.1187,2849.36,338.219
FIL,2021-12-13 20:02:22,Filecoin,40.38,2849.36,115057.157
POLY,2021-12-13 20:02:22,Polymath,0.5442,2849.36,1550.622
STMX,2021-12-13 20:02:22,StormX,0.03008,2849.36,85.709
RNDR,2021-12-13 20:02:22,Render Token,3.7951,2849.36,10813.606
BAL,2021-12-13 20:02:22,Balancer,15.23,2849.36,43395.753
FIO,2021-12-13 20:02:22,FIO Protocol,0.1621,2849.36,461.881
GALA,2021-12-13 20:02:22,Gala,0.568,2849.36,1618.436
VIB,2021-12-13 20:02:22,Viberate,0.03793,2849.36,108.076
VIA,2021-12-13 20:02:22,Viacoin,0.1855,2849.36,528.556
FIS,2021-12-13 20:02:22,StaFi,1.1142,2849.36,3174.757
BAR,2021-12-13 20:02:22,FC Barcelona Fan Token,8.49,2849.36,24191.066
RAD,2021-12-13 20:02:22,Radicle,9.465,2849.36,26969.192
BAT,2021-12-13 20:02:22,Basic Attention Token,1.0149,2849.36,2891.815
VRAB,2021-12-13 20:02:22,FULLNAME NOT FOUND,N/A,N/A,N/A
AKRO,2021-12-13 20:02:22,Akropolis,0.02943,2849.36,83.857
MOVR,2021-12-13 20:02:22,Moonriver,175.12,2849.36,498979.923
XMR,2021-12-13 20:02:22,Monero,184.15,2849.36,524709.644
COTI,2021-12-13 20:02:22,COTI,0.2897,2849.36,825.460
PEOPLE,2021-12-23 10:18:54,ConstitutionDAO,0.13799,2848.55,393.071
GLMR,2022-01-11 15:32:55,Moonbeam,0.2501,2848.63,712.442
ANC,2022-01-25 13:06:56,Anchor Protocol,1.53398,2849.23,4370.662
GMT,2022-03-05 11:59:25,STEPN,0.0094,2873.32,27.009
KDA,2022-03-11 13:38:50,Kadena,6.505,2883.17,18755.021
APE,2022-03-17 15:21:57,ApeCoin,8.4589,2900.59,24535.801
MULTI,2022-04-05 15:01:28,Multichain,18.18,3006.31,54654.716
GAL,2022-05-05 11:23:45,Galxe,16.921,3096.72,52399.599
LDO,2022-05-09 15:22:54,Lido DAO,2.014,3099.41,6242.212
EPX,2022-05-23 9:52:58,Ellipsis,0.001673,3120.5,5.221
LUNC,2022-05-30 11:36:33,Terra Classic,0.000125,3120.5,0.390
USTC,2022-05-30 11:36:33,TerraClassicUSD,0.024896,3120.5,77.688
OP,2022-06-01 9:24:07,Optimism,1.243,3120.84,3879.204
LEVER,2022-07-13 9:16:13,LeverFi,0.001357,3147.52,4.27
TRIG,2021-12-13 20:02:22,Trigger,N/A,2849.36,N/A
COVER,2021-12-13 20:02:22,Cover Protocol,33.46,2849.36,95339.59
GNT,2021-12-13 20:02:22,Green trust,0.00000001616,2849.36,0.00
ACA,2021-12-13 20:02:22,Acala,N/A,2849.36,N/A
SLPOLD,2021-12-13 20:02:22,N/A,N/A,2849.36,N/A
STORM,2021-12-13 20:02:22,Storm token,0.0511854,2849.36,145.85
DREPOLD,2021-12-13 20:02:22,N/A,N/A,2849.36,N/A
UND,2021-12-13 20:02:22,Unbound Dollar,N/A,2849.36,N/A
XTZ,2021-12-13 20:02:22,Tezos,4.036,2849.36,11500.02
LUNA,2021-12-13 20:02:22,Terra Luna,52.8289,2849.36,150528.55
BCHA,2021-12-13 20:02:22,,N/A,2849.36,N/A
EON,2021-12-13 20:02:22,Dimension Chain,N/A,2849.36,N/A
EOS,2021-12-13 20:02:22,EOS,3.094,2849.36,8815.92
GO,2021-12-13 20:02:22,GoChain,0.0324,2849.36,92.32
NCASH,2021-12-13 20:02:22,Nitro Network,0.002306,2849.36,6.57
RIF,2021-12-13 20:02:22,RSK Infrastructure Framework,0.1983,2849.36,565.03
NSBT,2021-12-13 20:02:22,Neutrino,17.1198,2849.36,48780.47
SKL,2021-12-13 20:02:22,Skale,0.19391,2849.36,552.52
GTC,2021-12-13 20:02:22,Gitcoin,8.844,2849.36,25199.74
BLINK,2021-12-13 20:02:22,Blink,0.01384,2849.36,39.44
HC,2021-12-13 20:02:22,HyperCash,0.44,2849.36,1253.72
SKY,2021-12-13 20:02:22,Skycoin,0.237,2849.36,675.30
BURGER,2021-12-13 20:02:22,BurgerCities,3.237,2849.36,9223.38
